codigo,nome,endereco,descricao,longitude,latitude,distrito
5614768,"R. ELOY DOMINGUES DA SILVA , 65",UA SÉRGIO IGNÁCIO FERREIRA,RUA SÉRGIO IGNÁCIO FERREIRA,-46.721925,-23.82898602,Parelheiros
830004005,"AV. SEN. JOSÉ ERMÍRIO DE MORAES , 528",VIEIRA DE MELO/ R DOM TEODOSIO,R VIEIRA DE MELO/ R DOM TEODOSIO,-46.61469,-23.45127302,Tremembé
580007745,"R. S. TEODORO , 648",SERRA DE SANTA MARTA/ R CAPITANIA DE ITAMARACA,R SERRA DE SANTA MARTA/ R CAPITANIA DE ITAMARACA,-46.454597,-23.55460802,Parque do Carmo
7405514,"AV. PROF. LUIZ IGNÁCIO ANHAIA MELLO , 5341",ua Francisco Fett,Rua Francisco Fett,-46.544437,-23.58889902,São Lucas
820008821,"R. BONSUCESSO , 1329",MARQUES DE CARVALHO/ R AZEVEDO SOARES,R MARQUES DE CARVALHO/ R AZEVEDO SOARES,-46.575891,-23.55026402,Tatuapé
7113180,"AV. OLAVO FONTOURA , 1300",,,-46.642488,-23.51516002,Santana
5113463,"AV. STA. INÊS , 3266",ua Paulo Diniz Fraga,Rua Paulo Diniz Fraga,-46.645006,-23.45975702,Mandaqui
8412823,"R. BORGES LADÁRIO , 206",Isaura,R. Isaura,-46.602374,-23.48451602,Tucuruvi
480014897,"R. MONTEIRO DE MELO , 446",CORIOLANO/ R CLELIA,R CORIOLANO/ R CLELIA,-46.703091,-23.52538502,Lapa
1114259,"R. SÍTIO D'ABADIA , 78",APARECIDA DO TABOADO,R. APARECIDA DO TABOADO,-46.708628,-23.46038902,Brasilândia
7504175,"R. CAMPO FLORIDO , 158",ROCHEDO DE MINAS,R   ROCHEDO DE MINAS,-46.499729,-23.59278602,São Mateus
780006177,"R. HENRIQUE MAZZAUTI , 64",MANUEL QUIRINO DE MATTOS/ R JOSE LAGRANGE,R MANUEL QUIRINO DE MATTOS/ R JOSE LAGRANGE,-46.491001,-23.60804602,Sapopemba
1603344,"AV. NSA. SRA. DO SABARÁ , 4247",UA ORESTES BARBOSA,RUA ORESTES BARBOSA,-46.678632,-23.68984902,Campo Grande
130005092,"AV. IMIRIM , 4300",LAMBARI/ R VERONICA,R LAMBARI/ R VERONICA,-46.664324,-23.47555802,Cachoeirinha
7805128,"AV. ENG. FEIJÓ BITENCOURT , 80",ua ENGº ALBANO DE AZEVEDO,Rua ENGº ALBANO DE AZEVEDO,-46.530435,-23.58905602,Sapopemba
3812743,"AV. EDU CHAVES , 398",UA AGUAS DE XAPECÓ,RUA AGUAS DE XAPECÓ,-46.572278,-23.47133202,Jaçanã
450011581,"AV. GUARAPIRANGA , 2574",HUNGRIA/ R PROFESSOR NAPOLEAO DOREA,R HUNGRIA/ R PROFESSOR NAPOLEAO DOREA,-46.742997,-23.68537702,Jardim São Luís
4814587,"AC. A PONTE DO PIQUERI , 0",,,-46.704798,-23.51023202,Lapa
