nome,regiao,endereco,suporte_basico,suporte_basico_enfermeiro,suporte_avancado,motolancia,longitude,latitude,distrito
Tribunal de Contas do Município,SUDESTE,"Avenida Professor Ascendino Reis, 1130",Não,Não,Sim,Não,-46.651694,-23.59904502,Moema
EB - Estação de Bombeiro São Miguel,LESTE,"Avenida Nordestina, 475, Vila Americana",Não,Não,Sim,Sim,-46.441296,-23.49707702,São Miguel
Cachoeirinha,NORTE,"Avenida Deputado Emílio Carlos, 3100",Sim,Não,Não,Não,-46.671287,-23.48023402,Cachoeirinha
UBS Rio Claro,LESTE,"Rua Cinira Polônio, 33",Não,Sim,Não,Sim,-46.456374,-23.62117402,São Rafael
UPA Sacomã,SUDESTE,"Estrada Das Lágrimas, 1403",Sim,Não,Não,Sim,-46.593777,-23.61360602,Sacomã
AMA Sorocabana,OESTE,"Rua Catão, 380",Sim,Não,Sim,Não,-46.700669,-23.52427602,Lapa
Hospital Municipal Itaquera - Itaquera Planalto,LESTE,"Rua Augusto Carlos Bauman, 1074",Sim,Não,Não,Sim,-46.444518,-23.53109302,Itaquera
UPA Vera Cruz,SUL,"Avenida Dos Funcionários Públicos, 379",Sim,Não,Não,Não,-46.781498,-23.73497402,Jardim Ângela
Hospital Municipal Cidade Tiradentes,LESTE,"Avenida Dos Metalúrgicos, 2100",Sim,Não,Não,Sim,-46.401997,-23.59966902,Cidade Tiradentes
UBS Marsilac / Jardim Embura,SUL,"Rua Benedito Schunck, 8",Sim,Não,Não,Não,-46.742317,-23.88081002,Marsilac
Jardim Grimaldi,SUDESTE,"Rua José de Queiroz Matos, 216-A, Jardim Grimaldi",Sim,Sim,Não,Sim,-46.516149,-23.59833302,Sapopemba
UBS São Nicolau,SUDESTE,"Rua Brook Taylor, 30",Sim,Sim,Não,Não,-46.476123,-23.52930602,Artur Alvim
Cidade Ademar,SUL,"Avenida Yervant Kissajikian, 416",Sim,Sim,Não,Não,-46.67491,-23.66780602,Campo Grande
UBS Vila Esperanca,SUDESTE,"Rua Alvinopolis, 1350",Sim,Não,Não,Não,-46.532036,-23.53092302,Penha
CAPS AMA Sé,NORTE,"Rua Frederico Alvarenga, 259",Não,Não,Sim,Sim,-46.628234,-23.55105602,Sé
UPA Carrão,SUDESTE,"Rua Nunes Balboa, 47",Sim,Sim,Não,Não,-46.533362,-23.54999102,Carrão
UBS Itaquera,LESTE,"Rua Américo Salvador Novelli, 265",Sim,Não,Não,Não,-46.455232,-23.53946102,Itaquera
Base Santana,NORTE,"Rua Voluntários Da Pátria, 901",Não,Não,Não,Não,-46.626717,-23.51269202,Santana
Perus,NORTE,"Rua Júlio Maciel, 54",Sim,Sim,Não,Sim,-46.75302,-23.41424902,Perus
Hospital Municipal Ermelino Matarazzo,LESTE,"Alameda Rodrigo de Brum, 1989",Sim,Não,Não,Não,-46.472441,-23.49983602,Ermelino Matarazzo
M'Boi Mirim,SUL,"Estrada Do Mboi Mirim, 5203",Sim,Sim,Não,Sim,-46.775416,-23.69225102,Jardim Ângela
UPA Maria Antonieta,SUL,"Rua Antônio Felipe Filho, 180",Sim,Não,Não,Sim,-46.690569,-23.74882302,Grajaú
UPA Cidade Tiradentes,LESTE,"Rua Cachoeira Morena, 462",Sim,Sim,Não,Não,-46.403426,-23.57149202,Cidade Tiradentes
CEU Alvarenga,SUL,"Estrada Do Alvarenga, 3752",Sim,Não,Não,Não,-46.644135,-23.70479002,Pedreira
São Mateus,LESTE,"Avenida Ragueb Chohfi, 822",Sim,Sim,Não,Sim,-46.470988,-23.60616902,São Mateus
UPA 21 DE JUNHO,NORTE,"Rua Miguel Helou, s/n, Parque Monteiro Soares",Não,Sim,Não,Sim,-46.690402,-23.49087202,Freguesia do Ó
AE/UBS/CEO Dr Walter Elias,NORTE,"Rua Mourão Vieira, 11",Não,Sim,Não,Não,-46.663995,-23.50949302,Casa Verde
Hospital Municipal Tatuapé,SUDESTE,"Avenida Celso Garcia, 4815",Sim,Não,Sim,Não,-46.566529,-23.53270502,Tatuapé
Anchieta,SUL,"Rua Alziro Pinheiro Magalhães, 578",Não,Sim,Não,Não,-46.683663,-23.76203102,Grajaú
CAPS São Luiz,SUL,"Rua Luciano Silva, 179",Não,Não,Sim,Sim,-46.743252,-23.64541802,Jardim São Luís
Lapa,OESTE,"Avenida Queiroz Filho, 313",Sim,Não,Não,Sim,-46.722369,-23.53738102,Alto de Pinheiros
UPA Julio Tupi,LESTE,"Rua Serra Da Queimada, 800",Sim,Não,Não,Sim,-46.411365,-23.52751602,Lajeado
Andaraí,NORTE,"Rua Benedita Dornellas Claro, 451, Parque Novo Mundo",Sim,Sim,Não,Sim,-46.575113,-23.51594402,Vila Maria
Ipiranga,SUDESTE,"Rua Xavier de Almeida, 210",Sim,Sim,Não,Não,-46.608723,-23.58762502,Ipiranga
Rio Pequeno,OESTE,"Rua José Vicente Da Cruz, 90",Sim,Sim,Não,Sim,-46.765007,-23.57647702,Rio Pequeno
