nome,tipo,esfera,endereco,bairro,cep,telefone,longitude,latitude,distrito
UPA JAÇANÃ,Pronto Atendimento,Municipal,"R. ESTER ELISA, 229",VILA NILO,02278-040,2243-1669,-46.580232,-23.45945702,Jaçanã
UPA JARDIM ANGELA,Pronto Atendimento,Municipal,"ESTRADA GUAVIRITUBA, 49",VILA SANTA LÚCIA,04937-000,5834-0840,-46.769219,-23.68392801,Jardim Ângela
UPA JARDIM ELISA MARIA I,Pronto Atendimento,Municipal,"R. ROMULO NALDI, 57",CONJ. PROMORAR ESTRADA DA PARADA,02873-250,,-46.685491,-23.45615802,Brasilândia
UPA JARDIM HELENA,Pronto Atendimento,Municipal,"R. KUMAKI AOKI, 785",JARDIM HELENA,08090-370,,-46.419588,-23.47900901,Jardim Helena
UPA JARDIM ICARAI QUINTANA,Pronto Atendimento,Municipal,"R. SÃO ROQUE DO PARAGUAÇU, 190",VILA QUINTANA,04837-150,5925-2222,-46.705289,-23.74415902,Cidade Dutra
UPA JARDIM PERI,Pronto Atendimento,Municipal,"R. AFONSO LOPES VIEIRA, 35",VILA DIONISIA,02671-100,3984-7571,-46.667498,-23.46730901,Cachoeirinha
UPA JULIO TUPY,Pronto Atendimento,Municipal,"R. SERRA DA QUEIMADA, 800",PQ GUAIANASES,08431-640,2511-6665,-46.411117,-23.52775702,Lajeado
UPA MOOCA - DOM PAULO EVARISTO ARNS,Pronto Atendimento,Municipal,"R. DR FOMM, 261",BELENZINHO,03163-030,,-46.5904,-23.54613001,Belém
UPA PARELHEIROS,Pronto Atendimento,Municipal,"ESTRADA ECOTURISTICA DE PARELHEIROS, 5252",JD DOS ALAMOS,04883-025,5683-8900,-46.73535038,-23.81580202,Parelheiros
UPA PARQUE DOROTEIA,Pronto Atendimento,Municipal,"R. DOS ANIQUIS, 3",JARDIM SANTA TEREZINHA,04474-000,5560-1164,-46.64848923,-23.69737302,Pedreira
UPA PEDREIRA - DR. CESAR ANTUNES DA ROCHA,Pronto Atendimento,Municipal,"AV. NOSSA SENHORA DO SABARA, 4901",VILA EMIR,04447-021,5614-7473,-46.676624,-23.69504901,Pedreira
UPA PERUS - DR. LUIZ ANTONIO DE ABREU SAMPAIO DORIA,Pronto Atendimento,Municipal,"R. ESTEVAN RIBEIRO RESENDE, S/Nº",PERUS,05202-140,3917-1242,-46.746767,-23.40054401,Perus
UPA PIRITUBA,Pronto Atendimento,Municipal,"AV. MENOTTI LAUDÍSIO, 100",PIRITUBA,02945-000,2039-5555,-46.727648,-23.48460701,Pirituba
UPA RIO PEQUENO,Pronto Atendimento,Municipal,"R. JOSE VICENTE DA CRUZ, 90",VILA ANTONIO,05376-000,5043-5558,-46.765363,-23.57626302,Rio Pequeno
UPA SACOMÃ,Pronto Atendimento,Municipal,"ESTRADA DAS LAGRIMAS, 1403",SACOMÃ,04232-000,2063-9098,-46.593917,-23.61397002,Sacomã
UPA SANTO AMARO - DR JOSÉ SYLVIO DE CAMARGO,Pronto Atendimento,Municipal,"R. PROMOTOR GABRIEL NETTUZZI PEREZ, 41",SANTO AMARO,04743-020,5521-2553,-46.704757,-23.65164001,Santo Amaro
UPA TATUAPE - WALDEMAR ROSSI,Pronto Atendimento,Municipal,"AV. CELSO GARCIA, 4974",TATUAPE,03064-000,3245-8333,-46.564684,-23.53345433,Tatuapé
UPA TITO LOPES,Pronto Atendimento,Municipal,"AV. PIRES DO RIO, 294",VILA AMERICANA,08020-000,4780-5114,-46.44298,-23.49896802,São Miguel
UPA VERA CRUZ,Pronto Atendimento,Municipal,"AV. DOS FUNCIONARIOS PUBLICOS, 379",JARDIM VERA CRUZ,04962-000,5898-5900,-46.780848,-23.73705502,Jardim Ângela
UPA VERGUEIRO,Pronto Atendimento,Municipal,"R. VERGUEIRO, 613",LIBERDADE,01504-001,4040-1067,-46.63964744,-23.56747399,Liberdade
UPA VILA MARIA - DR JOSE MAURO DEL ROIO CORREA,Pronto Atendimento,Municipal,"PRAÇA ENGENHEIRO HUGO BRANDI, 15",VILA MARIA BAIXA,02168-050,3500-2560,-46.57732,-23.51730302,Vila Maria
UPA VILA MARIANA,Pronto Atendimento,Municipal,"R. DIOGO DE FARIA, 609",V CLEMENTINO,04037-002,3245-9010,-46.64269,-23.59583002,Vila Mariana
UPA VILA SANTA CATARINA,Pronto Atendimento,Municipal,"R. CIDADE DE BAGDÁ, 529",JARDIM MIRA,04377-036,5671-9200,-46.653502,-23.65671401,Jabaquara
