nome,tipo,esfera,endereco,bairro,cep,telefone,longitude,latitude,distrito
HOSPITAL DO SERVIDOR PÚBLICO ESTADUAL FRANCISCO MORATO DE OLIVEIRA,Hospital Especializado,Estadual,"R. PEDRO DE TOLEDO, 1800",VILA CLEMENTINO,04029-000,4573-8000,-46.655547,-23.59697102,Moema
HOSP DA AERONAUTICA DE SP,Hospital Especializado,Federal,"AV. OLAVO FONTOURA, 1400",SANTANA,02022-021,2224-7000,-46.64302773,-23.51378473,Santana
HOSP CASA DE DAVID,Hospital Especializado,Privado,"RODOVIA FERNAO DIAS, KM 82",PARQUE EDU CHAVES,02284-000,2453-6600,-46.568907,-23.43014102,Jaçanã
CENTRO MEDICO PMESP,Hospital Especializado,Estadual,"AV. NOVA CANTAREIRA, 3659",TREMEMBE,02341-001,2109-3755,-46.6188037,-23.46911672,Tucuruvi
CENTRO HOSPITALAR DO SISTEMA PENITENCIÁRIO,Hospital Especializado,Estadual,"R. DOM JOSE MAURICIO, 15",CARANDIRU,02028-000,,-46.6191396,-23.50925572,Santana
CENTRO DE REFERÊNCIA E TREINAMENTO DST/AIDS - SÃO PAULO,Hospital Especializado,Estadual,"R. SANTA CRUZ, 81",VIL MARIANA,04121-000,5087-9911,-46.636054,-23.59665601,Vila Mariana
CENTRO DE REFERÊNCIA DA SAUDE DA MULHER - HOSP EST,Hospital Especializado,Estadual,"AV. RIO BRANCO, 1080",CAMPOS ELISEOS,01206-001,3367-3900,-46.6438128,-23.53429501,Santa Cecília
CAISM PHILIPPE PINEL,Hospital Especializado,Estadual,"AV. RAIMUNDO PEREIRA DE MAGALHAES, 5214",PIRITUBA,02938-000,3993-8227,-46.724093,-23.48597301,Pirituba
AME MARIA ZELIA,Hospital Especializado,Estadual,"R. JEQUITINHONHA, 360",BELENZINHO,03021-040,3583-1800,-46.597427,-23.53020601,Belém
AME DR. LUIZ ROBERTO BARRADAS BARATA,Hospital Especializado,Estadual,"AV. ALMIRANTE DELAMARE, 1534",CIDADE NOVA HELIOPOLIS,04230-000,2065-1550,-46.589968,-23.61030801,Sacomã
AMB ESPEC DR. GERALDO PAULO BOURROL (CONSOLAÇÃO),Hospital Especializado,Estadual,"R. MARTINS FONTES, 208",CENTRO,01050-000,2141-6200,-46.644104,-23.54878901,República
