nome,tipo,esfera,endereco,bairro,cep,telefone,longitude,latitude,distrito
UBS VILA JAGUARA,Unidade Básica de Saúde,Municipal,"R. PAÚVA, 721",VILA JAGUARA,05116-001,3625-1775,-46.746483,-23.51367602,Jaguara
UBS VILA JOANIZA - JOÃO YUNES,Unidade Básica de Saúde,Municipal,"R. FERNANDO MELAO MARTINI, S/N",CIDADE ADEMAR,04438-290,5622-0844,-46.666297,-23.67360602,Cidade Ademar
UBS VILA LEONOR,Unidade Básica de Saúde,Municipal,"AV. ANGELINA, 770",VL LEONOR,02077-000,2207-4797,-46.596791,-23.49867702,Vila Guilherme
UBS VILA MAGGI,Unidade Básica de Saúde,Municipal,"R. CONDE MONTERONE, 40",PIRITUBA,02982-190,3972-1435,-46.716436,-23.45551702,Pirituba
UBS VILA MANGALOT,Unidade Básica de Saúde,Municipal,"R. PORTÃO PRETO, 220",SÃO DOMINGOS,05131-120,3904-1292,-46.745278,-23.49525202,São Domingos
UBS VILA MARCELO,Unidade Básica de Saúde,Municipal,"R. AMADO BENEDITO VILAS BOAS, 616",VL MARCELO,04866-000,5979-8972 / 5922-3576,-46.722185,-23.78806601,Parelheiros
UBS VILA MARIA - DR. LUIZ PAULO GNECCO,Unidade Básica de Saúde,Municipal,"R. ANDRÉ DA FONSECA, 70",VILA MUNHOZ,02135-010,3475-5203,-46.590546,-23.49999701,Vila Maria
UBS VILA MARIANA - DIOGO NOMURA,Unidade Básica de Saúde,Municipal,"R. DIOGO DE FARIA, 678",VILA CLEMENTINO,04037-000,5082-1072,-46.643264,-23.59562601,Vila Mariana
UBS VILA MATILDE - DR. RUBENS DO VAL,Unidade Básica de Saúde,Municipal,"R. MARCONDES DE BRITO, 1304",VILA MATILDE,03509-000,2653-4391,-46.527774,-23.53928302,Vila Matilde
UBS VILA MORAES - JOÃO PAULO BOTELHO VIEIRA,Unidade Básica de Saúde,Municipal,"R. GIOVANNI DI BALDUCCIO, 250",VILA MORAES,04170-000,5058-0891,-46.612541,-23.63351801,Cursino
UBS VILA NATAL,Unidade Básica de Saúde,Municipal,"AV. PROFª. MARTA MARIA BERNARDES, 246",VILA NATAL,04863-000,5527-4071,-46.707403,-23.76395501,Grajaú
UBS VILA NIVI,Unidade Básica de Saúde,Municipal,"PRAÇA CAMPINÓPOLIS, 125",VILA NIVI,02252-160,2201-7219,-46.587933,-23.47784402,Tucuruvi
UBS VILA NOSSA SENHORA APARECIDA,Unidade Básica de Saúde,Municipal,"R. PAULINO SERQUEIRA X GUAIA GUAÇU, 1",ITAQUERA,08215-160,2079-7871,-46.442818,-23.53434001,Itaquera
UBS VILA NOVA CURUÇÁ,Unidade Básica de Saúde,Municipal,"R. NARCEJA, 51",SÃO MIGUEL PAULISTA,08032-340,2035-2292 / 2135-2990,-46.426579,-23.51624602,Vila Curuçá
UBS VILA NOVA GALVÃO - SÔNIA REGINA CAMPANELLI,Unidade Básica de Saúde,Municipal,"R. ALFEU LUIS GASPARINI, 116",VILA NOVA GALVÃO,02281-110,2241-7366,-46.572609,-23.45146401,Jaçanã
UBS VILA NOVA MANCHESTER - DR. ARLINDO GENNARI,Unidade Básica de Saúde,Municipal,"PRAÇA HAROLDO DALTRO, 461",VL NOVA MANCHESTER,03444-090,2295-4163,-46.531881,-23.54651001,Carrão
UBS VILA NOVA YORK,Unidade Básica de Saúde,Municipal,"R. DR EDGARD MAGALHÃES NORONHA, 200",VL NOVA YORK,03480-000,2721-2707,-46.509869,-23.57884901,Aricanduva
UBS VILA OLIMPIA - MAX PERLMAN,Unidade Básica de Saúde,Municipal,"R. JACQUES FELIX, 499",VL NOVA CONCEIÇÃO,04509-001,3842-4849,-46.671278,-23.59268102,Moema
UBS VILA PALMEIRAS (PROVISORIAMENTE NA UBS GUANABARA),Unidade Básica de Saúde,Municipal,"AV. MINISTRO PETRÔNIO PORTELA, 663",FREGUESIA DO Ó,02959-000,3931-8242,-46.700979,-23.49332102,Freguesia do Ó
