nome,tipo,esfera,endereco,bairro,cep,telefone,longitude,latitude,distrito
HOSPITAL VETERINÁRIO PÚBLICO - ZONA NORTE,SEM TIPO,SEM ESFERA,"AV GENERAL ATALIBA LEONEL, 3194",PARADA INGLESA,02242-001,24785305,-46.60749499,-23.48814589,Tucuruvi
HOSPITAL VETERINÁRIO PÚBLICO - ZONA LESTE,SEM TIPO,SEM ESFERA,AV SALIM FARAT MALUF X R ULISSES CRUZ (LADO PAR),TATUAPÉ,03077-000,43238502,-46.58377593,-23.53311612,Belém
CENTRO DE CONTROLE DE ZOONOSES,SEM TIPO,SEM ESFERA,"RUA SANTA EULÁLIA, 86",SANTANA,02031-020,33978900,-46.62752543,-23.51194069,Santana
HOSPITAL VETERINÁRIO (Atendimento a preços acessíveis) - ZONA OESTE,SEM TIPO,SEM ESFERA,"RUA MANUEL JACINTO, 249",VILA SÔNIA,05624-000,35306008,-46.72803965,-23.59106466,Vila Sônia
