nome,categoria,tipo,esfera,endereco,bairro,cep,telefone,longitude,latitude,distrito
ESTRELA VL FORMOSA,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"RUA FLORIZA, 150",,03472-140,,-46.52395661,-23.57556289,Aricanduva
WALDEMAR MORENO,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"RUA AZEVEDO E BRITTO, 42",,03366-040,,-46.53529539,-23.5659765,Vila Formosa
FLOR DE MAIO,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"RUA TRES PEDRAS, 835",,03209-010,,-46.55571988,-23.60260105,Vila Prudente
FOGÃO DE VL BELA,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"RUA SARUMA, 347",,03143-080,,-46.56861226,-23.59249894,Vila Prudente
KALIL ALLE MAMEDE,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"RUA LEONIDIO PORCIONATO, 383",,03280-040,,-46.53798384,-23.58492963,São Lucas
TRES ALIANÇAS,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"RUA ERVA IMPERIAL, 340",,03244-030,,-46.54018556,-23.60104059,São Lucas
VENEZA INDEPENDENTE,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"RUA PADRE RAIMUNDO DA SILVA, 598",,03214-000,,-46.55783801,-23.61029495,Vila Prudente
JD PLANALTO,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"RUA QUILOMBOLAS, 178",,03983-070,,-46.51122262,-23.61012508,Sapopemba
CHARLES GOODYEAR,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"RUA DOS PRAZERES, 106",,03021-085,,-46.59716841,-23.53448894,Belém
ESTRELA DO PARI,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"RUA COMENDADOR NESTOR PEREIRA, 108",,03034-070,,-46.61896259,-23.5244079,Pari
JD ITALIA,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"RUA FAROL PAULISTANO, 300",,03192-060,,-46.57517122,-23.57118364,Água Rasa
MOOCA,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"RUA MARIA LUISA DE PINHO, 113",,03124-090,,-46.58952716,-23.57075985,Mooca
SERRA MORENA,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"RUA ARAGUAIA, 749",,03034-000,,-46.61725021,-23.52349039,Pari
VIGOR,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"AVENIDA CARLOS DE CAMPOS, 935",,03028-001,,-46.61208866,-23.52672173,Pari
VL INVERNADA,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"RUA RAIMUNDO CORREIA, 131",,03351-050,,-46.56333982,-23.57058065,Água Rasa
COPA 70,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"RUA EDUARDO VICENTE NASSER, 352",,,,-46.61076369,-23.46844703,Tucuruvi
TREM DAS 11,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"AV ANTONIO CESAR NETO, 347",,,,-46.58302471,-23.46163021,Jaçanã
NACIONAL BOM RETIRO,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"RUA ANHAIA, 1239",,,,-46.64803478,-23.51977896,Bom Retiro
ROBERTO RUSSO,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"RUA DOS ITALIANOS, 1261",,,,-46.64737261,-23.51904081,Bom Retiro
31 DE MARÇO,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"AV MIN PETRONIO PORTEIA, 767",,,,-46.70077711,-23.49308511,Freguesia do Ó
JD CACHOEIRA,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"RUA MONS PAULO FERNANDES DE BARROS, 28",,,,-46.67727287,-23.4821614,Freguesia do Ó
JD. GUARAU,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"RUA SALDANHA DE OLIVEIRA, 60",,,,-46.6987884,-23.47414967,Freguesia do Ó
N.S. DO Ó,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"RUA DR UBALDO DA COSTA LEITE, 55",,,,-46.7028253,-23.48985399,Freguesia do Ó
PQ SÃO LUIZ,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"RUA ENG ALBERTO MEIER, 318",,,,-46.6886378,-23.48033562,Freguesia do Ó
SENHOR DO BONFIM,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"RUA DR UBALDO DA COSTA LEITE, 55",,,,-46.7028253,-23.48985399,Freguesia do Ó
TIÊTE,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"RUA SEBASTIAO JOSE PEREIRA, 245",,,,-46.67660453,-23.46493309,Brasilândia
VL. PENTEADO,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"RUA VER CARLOS WESLY, 336",,,,-46.6819165,-23.47341567,Brasilândia
VL. RICA II,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"RUA DEP FERNANDO FERRARI, 43",,,,-46.67093849,-23.47342,Brasilândia
CECILIA MEIRELES,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"RUA SOLD ANESIO ANTAO FERREIRA, 31",,,,-46.57659138,-23.51061462,Vila Maria
CENTRO DA COROA,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"RUA JOAO VENTURA BATISTA, 907",,,,-46.60247925,-23.51747941,Vila Guilherme
E.SILVA.TRINDADE,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"RUA SOLD ANESIO ANTAO FERREIRA, 31",,,,-46.57659138,-23.51061462,Vila Maria
LAURO MEGALE,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"AL PRIM SARG OSMAR CORTES CLARO, 140",,,,-46.56868248,-23.49876315,Vila Medeiros
VINOCA,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"RUA VICTOR ROGER, 35",,,,-46.66225191,-23.47354104,Cachoeirinha
VL. PALMEIRAS,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"AV INAJAR DE SOUZA, 1000",,,,-46.68465415,-23.49733992,Limão
JAGUARÉ,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"AV PRES ALTINO, 1309",,,,-46.75169961,-23.54431819,Jaguaré
P.F,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,",",,,,-46.70808915,-23.51165575,Lapa
CORONEL JOSÉ GLADIADOR,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"R HERCULANO JOSE DOS SANTOS, 40",,,,-46.78926892,-23.43946272,Anhanguera
ANTONIO RODRIGUES FILHO,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"R LUCAS DE LEYEDE, 16",,,,-46.76384836,-23.57877485,Rio Pequeno
ANTONIO EVARISTO COSTA,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"AV DO RIO PEQUENO, 1850",,,,-46.76064588,-23.57221298,Rio Pequeno
CORNELIO RODRIGUES DE ALMEIDA,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"R PROF ANTONIO FILGUEIRAS DE LIMA, 358",,,,-46.74791399,-23.56828908,Rio Pequeno
NAIR DE CAMPOS,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,",",,,,-46.74503712,-23.59116754,Vila Sônia
PEQUENINOS DO JOCKEY,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"R FREI BONIFACIO DUX, 150",,,,-46.72905151,-23.60240322,Vila Sônia
VICTOR MARQUES,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"AV PIRAJUSSARA, 5000",,,,-46.74821286,-23.60054613,Vila Sônia
JD. MANGALOT,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"R JANNART MOUTINHO RIBEIRO, 730",,,,-46.7477503,-23.49295102,São Domingos
JARDIM REGINA,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"R PIRAPOZINHO, 117",,,,-46.74284909,-23.4736838,Pirituba
JD. SÃO JOSÉ,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"R D MANUEL DELBOUX, 30",,,,-46.71353897,-23.48784569,Pirituba
LAZARO CORREIA,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"ESTR DAS TAIPAS, 1940",,,,-46.73250872,-23.44080609,Jaraguá
LIBANO,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"R JOSE QUEIROZ DOS SANTOS, 163",,,,-46.7328013,-23.4863698,Pirituba
LIDERANÇA,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"R CORACAO DE BUGRE, 100",,,,-46.723876,-23.48309143,Pirituba
PARADA DE TAIPAS,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"R FRAGATA CONSTITUICAO, 31",,,,-46.71235142,-23.43037644,Jaraguá
VL. URSULINA,CLUBE DA COMUNIDADE,Clube da Comunidade com Campo de Futebol,Público - Municipal,"AV OTAVIANO ALVES DE LIMA, 1881",,,,-46.71421914,-23.50667551,Pirituba
